Num_Acc,dep,cluster_kmeans,cluster_bisecting,cluster_gmm
202400000330,94,2,2,2
202400000331,95,2,0,2
202400000332,94,2,0,2
202400000333,95,2,2,2
202400000334,94,2,0,1
202400000335,95,2,0,4
202400000336,94,2,0,4
202400000337,91,2,0,1
202400000338,94,2,2,2
202400000339,91,3,3,3
202400000340,94,0,1,3
202400000341,94,2,0,4
202400000342,93,2,2,2
202400000343,93,0,0,3
202400000344,93,2,2,2
202400000345,93,2,2,2
202400000346,93,2,2,2
202400000347,93,2,0,4
202400000348,93,2,0,4
202400000349,93,2,0,4
202400000350,93,2,2,2
202400000351,93,2,2,2
202400000352,92,2,2,2
202400000353,92,2,0,4
202400000354,92,0,0,3
202400000355,92,2,0,2
202400000356,39,1,3,4
202400000357,01,1,3,4
202400000358,06,2,2,2
202400000359,18,2,0,4
202400000360,71,4,4,4
202400000361,68,1,3,4
202400000362,972,0,0,4
202400000363,63,3,3,4
202400000364,30,3,3,3
202400000365,2A,1,4,4
202400000366,63,1,3,4
202400000367,12,2,0,2
202400000368,47,2,0,4
202400000369,25,1,3,4
202400000370,44,1,3,4
202400000371,31,1,3,4
202400000372,38,1,3,4
202400000373,15,1,3,4
202400000374,01,0,0,0
202400000375,14,1,3,4
202400000376,10,2,2,2
202400000377,36,0,1,3
202400000378,07,3,3,3
202400000379,53,1,3,1
202400000380,27,2,2,2
202400000381,27,1,3,4
202400000382,28,1,3,4
202400000383,30,3,3,3
202400000384,08,1,3,4
202400000385,06,3,3,3
202400000386,89,4,4,4
202400000387,38,4,4,4
202400000388,77,2,0,4
202400000389,77,2,0,4
202400000390,95,1,4,2
202400000391,34,1,3,2
202400000392,83,1,3,4
202400000393,13,3,3,4
202400000394,70,3,3,3
202400000395,38,1,3,2
202400000396,70,2,2,2
202400000397,21,1,3,2
202400000398,07,3,3,4
202400000399,08,1,3,4
202400000400,38,3,3,4
202400000401,01,1,3,2
202400000402,69,3,3,4
202400000403,85,3,3,4
202400000404,44,2,2,2
202400000405,81,3,3,4
202400000406,17,0,1,3
202400000407,27,2,2,2
202400000408,22,2,2,2
202400000409,62,2,2,2
202400000410,76,1,3,4
202400000411,13,1,3,2
202400000412,33,4,4,4
202400000413,13,4,4,4
202400000414,91,1,3,4
202400000415,83,1,3,4
202400000416,92,1,3,4
202400000417,33,4,4,4
202400000418,78,1,3,4
202400000419,78,4,4,4
202400000420,33,4,4,1
202400000421,78,4,4,4
202400000422,91,4,4,4
202400000423,92,0,0,0
202400000424,91,4,4,4
202400000425,78,4,4,4
202400000426,91,4,4,4
202400000427,78,4,4,4
202400000428,91,1,4,4
202400000429,95,4,4,4
202400000430,78,1,3,4
202400000431,93,4,4,4
202400000432,92,1,3,4
202400000433,77,4,4,4
202400000434,92,1,4,4
202400000435,974,1,3,2
202400000436,93,4,4,4
202400000437,974,2,2,2
202400000438,93,4,4,4
202400000439,92,4,4,4
202400000440,95,4,4,4
202400000441,75,4,4,4
202400000442,94,4,4,4
202400000443,77,4,4,4
202400000444,94,4,4,4
202400000445,94,4,4,4
202400000446,74,2,2,2
202400000447,14,2,0,2
202400000448,14,1,3,4
202400000449,971,1,3,2
202400000450,38,2,2,2
202400000451,971,0,0,3
202400000452,38,4,4,4
202400000453,13,2,2,2
202400000454,2A,0,0,4
202400000455,13,2,0,4
202400000456,13,2,2,2
202400000457,95,2,2,2
202400000458,13,2,2,2
202400000459,95,2,0,4
202400000460,75,2,2,2
202400000461,91,1,3,4
202400000462,57,1,4,4
202400000463,84,3,3,4
202400000464,974,2,2,2
202400000465,974,2,2,2
202400000466,79,2,2,1
202400000467,973,0,1,0
202400000468,77,1,3,4
202400000469,77,1,4,4
202400000470,76,2,2,2
202400000471,73,0,1,0
202400000472,95,2,0,4
202400000473,69,2,2,2
202400000474,95,2,0,4
202400000475,69,2,2,2
202400000476,95,0,0,3
202400000477,62,2,0,4
202400000478,91,0,1,3
202400000479,84,2,2,2
202400000480,59,0,1,3
202400000481,84,2,2,2
202400000482,59,2,2,2
202400000483,82,2,2,2
202400000484,54,2,2,2
202400000485,81,3,3,0
202400000486,51,2,2,2
202400000487,49,2,2,2
202400000488,72,2,2,2
202400000489,45,0,0,3
202400000490,72,2,2,2
202400000491,42,2,0,2
202400000492,67,2,2,2
202400000493,64,2,2,2
202400000494,64,2,2,2
202400000495,35,2,2,2
202400000496,64,2,2,2
202400000497,34,2,2,2
202400000498,61,2,2,2
202400000499,34,0,1,3
202400000500,59,2,2,2
202400000501,59,2,0,4
202400000502,33,0,1,3
202400000503,57,2,0,4
202400000504,33,3,3,0
202400000505,56,2,2,2
202400000506,31,2,0,4
202400000507,56,2,2,2
202400000508,27,3,3,4
202400000509,56,2,2,2
202400000510,56,2,2,2
202400000511,25,2,2,2
202400000512,54,2,2,2
202400000513,54,2,0,2
202400000514,51,2,2,2
202400000515,19,2,2,2
202400000516,51,2,2,2
202400000517,17,0,1,3
202400000518,13,0,1,3
202400000519,47,2,0,4
202400000520,06,0,1,0
202400000521,75,0,1,0
202400000522,41,0,1,0
202400000523,75,0,1,3
202400000524,33,2,2,2
202400000525,33,2,2,2
202400000526,75,2,2,2
202400000527,29,2,2,2
202400000528,75,0,1,3
202400000529,75,0,1,3
202400000530,94,2,2,2
202400000531,25,0,1,3
202400000532,93,0,0,3
202400000533,22,1,4,4
202400000534,92,0,1,0
202400000535,16,2,0,4
202400000536,13,2,2,2
202400000537,37,2,0,4
202400000538,13,0,1,4
202400000539,54,1,3,4
202400000540,13,2,2,2
202400000541,83,2,0,2
202400000542,59,2,0,4
202400000543,95,2,0,4
202400000544,12,2,2,1
202400000545,80,0,1,3
202400000546,56,1,3,4
202400000547,11,2,0,2
202400000548,56,3,3,4
202400000549,64,2,0,4
202400000550,56,1,3,4
202400000551,11,2,2,2
202400000552,68,2,0,1
202400000553,68,1,3,4
202400000554,56,1,3,4
202400000555,06,2,0,4
202400000556,03,4,4,4
202400000557,56,4,4,1
202400000558,06,2,0,4
202400000559,56,3,3,3
202400000560,05,1,3,4
202400000561,59,3,3,3
202400000562,78,1,3,4
202400000563,75,2,2,2
202400000564,2B,1,3,4
202400000565,11,3,3,3
202400000566,75,2,2,2
202400000567,80,1,3,4
202400000568,63,1,3,4
202400000569,75,0,1,3
202400000570,49,0,1,3
202400000571,76,2,2,2
202400000572,75,2,2,2
202400000573,22,1,3,2
202400000574,61,2,0,2
202400000575,89,0,1,3
202400000576,61,1,3,4
202400000577,22,4,4,4
202400000578,75,2,2,2
202400000579,86,2,2,2
202400000580,29,3,3,3
202400000581,55,2,0,4
202400000582,75,2,2,2
202400000583,85,0,1,3
202400000584,31,0,0,3
202400000585,12,1,3,4
202400000586,75,2,2,2
202400000587,54,1,3,4
202400000588,42,1,3,4
202400000589,46,3,3,0
202400000590,84,3,3,3
202400000591,75,2,2,2
202400000592,83,2,2,1
202400000593,46,2,0,4
202400000594,82,2,2,2
202400000595,25,1,3,4
202400000596,82,2,2,2
202400000597,45,1,3,4
202400000598,44,3,3,3
202400000599,78,2,0,4
202400000600,73,1,3,4
202400000601,43,1,3,4
202400000602,78,3,3,0
202400000603,21,1,3,4
202400000604,77,2,2,2
202400000605,77,3,3,0
202400000606,21,1,3,4
202400000607,21,3,3,3
202400000608,76,2,2,2
202400000609,40,3,3,4
202400000610,27,1,3,4
202400000611,69,2,2,2
202400000612,37,1,3,4
202400000613,67,0,0,0
202400000614,67,2,2,2
202400000615,60,4,4,4
202400000616,64,2,2,2
202400000617,987,2,0,1
202400000618,64,2,2,2
202400000619,67,4,4,4
202400000620,90,4,4,4
202400000621,59,2,2,1
202400000622,59,2,0,2
202400000623,976,3,3,4
202400000624,77,3,3,3
202400000625,59,1,3,4
202400000626,973,3,3,4
202400000627,54,2,2,2
202400000628,971,3,4,3
202400000629,2B,2,2,2
202400000630,50,2,2,2
202400000631,83,1,3,4
202400000632,49,2,2,2
202400000633,89,2,0,2
202400000634,49,1,3,4
202400000635,71,4,4,4
202400000636,71,3,3,3
202400000637,45,2,0,2
202400000638,01,2,0,2
202400000639,45,2,2,2
202400000640,69,2,0,2
202400000641,45,2,2,2
202400000642,86,2,0,4
202400000643,45,2,0,4
202400000644,86,1,3,4
202400000645,42,2,0,4
202400000646,86,1,3,4
202400000647,40,2,2,2
202400000648,29,2,2,2
202400000649,40,2,0,4
202400000650,37,2,2,2
202400000651,69,0,0,3
202400000652,91,4,4,4
202400000653,35,1,4,4
202400000654,77,4,4,4
202400000655,35,2,2,2
202400000656,93,4,4,4
202400000657,74,2,2,2
202400000658,35,2,2,2
202400000659,74,0,1,0
202400000660,37,0,1,3
202400000661,35,2,2,2
202400000662,987,3,0,3
202400000663,976,2,0,1
202400000664,35,2,2,2
202400000665,974,3,3,4
202400000666,34,0,1,3
202400000667,974,0,1,3
202400000668,973,0,1,0
202400000669,34,1,3,2
202400000670,69,2,2,2
202400000671,33,2,2,2
202400000672,69,2,2,2
202400000673,972,2,0,1
202400000674,31,2,2,2
202400000675,972,2,2,2
202400000676,31,0,1,0
202400000677,971,1,3,4
202400000678,29,2,2,2
202400000679,971,3,3,4
202400000680,2A,1,3,4
202400000681,22,1,3,2
202400000682,95,2,2,2
202400000683,95,2,0,4
202400000684,13,2,2,2
202400000685,13,2,2,2
202400000686,91,2,2,2
202400000687,88,0,0,3
202400000688,87,2,2,2
202400000689,13,2,2,2
202400000690,87,0,1,0
202400000691,13,2,2,2
202400000692,87,0,0,4
202400000693,13,1,3,4
202400000694,85,2,2,2
202400000695,12,1,3,2
202400000696,83,2,2,2
202400000697,10,2,2,2
202400000698,83,2,0,4
202400000699,80,3,3,4
202400000700,75,2,2,2
202400000701,77,1,3,4
